GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
registration-service,com.stackroute.registrationservice.service,UserServiceImpl,44,88,3,5,11,17,4,9,2,7
registration-service,com.stackroute.registrationservice.configuration,UserConfig,101,0,0,0,18,0,16,0,16,0
registration-service,com.stackroute.registrationservice.controller,UserController,263,0,12,0,60,0,14,0,8,0
registration-service,com.stackroute.registrationservice,RegistrationServiceApplication,5,3,0,0,2,1,1,1,1,1
registration-service,com.stackroute.registrationservice.dto,EmailDto,26,0,0,0,5,0,6,0,6,0
registration-service,com.stackroute.registrationservice.dto,EmailVerificationDto,32,0,0,0,6,0,7,0,7,0
registration-service,com.stackroute.registrationservice.dto,CustomerPublishDto,36,0,0,0,6,0,8,0,8,0
registration-service,com.stackroute.registrationservice.dto,UserDto.UserDtoBuilder,14,49,0,0,0,1,1,8,1,8
registration-service,com.stackroute.registrationservice.dto,NewPasswordDto,26,0,0,0,5,0,6,0,6,0
registration-service,com.stackroute.registrationservice.dto,UserDto,0,70,0,0,0,10,0,15,0,15
registration-service,com.stackroute.registrationservice.dto,TransporterPublishDto,26,0,0,0,5,0,6,0,6,0
registration-service,com.stackroute.registrationservice.model,User,165,135,39,15,2,8,31,15,4,15
registration-service,com.stackroute.registrationservice.model,UserRole,0,24,0,0,0,2,0,1,0,1
registration-service,com.stackroute.registrationservice.model,User.UserBuilder,63,0,0,0,1,0,9,0,9,0
registration-service,com.stackroute.registrationservice.utils,AppConstants,3,0,0,0,1,0,1,0,1,0
registration-service,com.stackroute.registrationservice.utils,DataFeeder,37,0,0,0,7,0,2,0,2,0
registration-service,com.stackroute.registrationservice.exception,IdNotFoundException,12,0,0,0,6,0,3,0,3,0
registration-service,com.stackroute.registrationservice.exception,GlobalException,72,0,0,0,18,0,5,0,5,0
registration-service,com.stackroute.registrationservice.exception,ErrorInfo,36,0,0,0,16,0,8,0,8,0
registration-service,com.stackroute.registrationservice.exception,UserAlreadyExistException,9,3,0,0,4,2,2,1,2,1
